"Time (s);""Linear Acceleration x (m/s^2)"";""Linear Acceleration y (m/s^2)"";""Linear Acceleration z (m/s^2)"";""Absolute acceleration (m/s^2)""",Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.379208334E-3;-2.845331150E-1;-3.874423563E-1;-7.084544957E-1;8.561416036E-1,,,,,
1.339820834E-2;-4.926600784E-1;-1.947093576E-1;-1.088469719E0;1.210533773E0,,,,,
2.341620834E-2;-4.226788473E-1;3.868131959E-1;-6.501799750E-1;8.666117103E-1,,,,,
3.343420833E-2;-1.740505600E-1;8.566378507E-1;-7.602491319E-1;1.158490720E0,,,,,
4.345220833E-2;3.568988407E-1;1.355739222E0;-1.135494781E0;1.804093683E0,,,,,
5.347020834E-2;2.043732263E0;1.226327183E0;-1.613773048E0;2.878364705E0,,,,,
6.348820834E-2;4.175747543E0;4.458633497E-1;-2.691099728E0;4.987752942E0,,,,,
7.351054167E-2;4.954782609E0;-6.385144874E-1;-2.737900842E0;5.696812484E0,,,,,
8.352854167E-2;4.923510531E0;-1.755839338E0;-2.591323425E0;5.834285288E0,,,,,
9.354654167E-2;4.277091485E0;-2.545840858E0;-1.634001490E0;5.238776394E0,,,,,
1.035645417E-1;3.756071241E0;-3.356596777E0;-1.174025009E0;5.172344518E0,,,,,
1.135825417E-1;2.789948078E0;-3.218978463E0;-1.369856155E0;4.474610431E0,,,,,
1.236005417E-1;2.735914543E0;-4.031566899E0;-1.691562066E0;5.157532576E0,,,,,
1.336195417E-1;3.445191742E0;-4.061031019E0;-1.551209010E0;5.546852122E0,,,,,
1.436375417E-1;4.438986268E0;-2.442188728E0;-1.135609094E0;5.192156862E0,,,,,
1.536555417E-1;4.944495018E0;-1.292084678E0;-2.569289947E0;5.720031873E0,,,,,
1.636735417E-1;5.056902477E0;-1.530110209E0;-3.229520116E0;6.192196709E0,,,,,
1.736915417E-1;4.525160193E0;-2.070000295E0;-2.238324384E0;5.456379023E0,,,,,
1.837095417E-1;2.616883943E0;-1.564083409E0;-6.561318558E-1;3.118484808E0,,,,,
1.937275417E-1;1.524450982E-1;-1.708223122E0;-2.527594621E0;3.054504921E0,,,,,
2.037465417E-1;-2.651680723E0;-4.911585134E-1;-3.933026698E0;4.768788772E0,,,,,
2.137645417E-1;-5.426401482E0;1.236449883E0;-2.236726925E0;5.998132101E0,,,,,
2.237825417E-1;-6.178800727E0;3.207829285E0;1.501635439E0;7.121984003E0,,,,,
2.338005417E-1;-5.738684313E0;4.973030015E0;3.939224746E0;8.554590392E0,,,,,
2.438185417E-1;-5.475616912E0;5.673845124E0;5.635003824E0;9.691654510E0,,,,,
2.538365417E-1;-5.165326812E0;5.844792566E0;5.840631688E0;9.744494842E0,,,,,
2.638555417E-1;-5.115075256E0;4.705442424E0;4.845805128E0;8.472721558E0,,,,,
2.738735417E-1;-4.763110880E0;3.718758988E0;4.135661956E0;7.322574239E0,,,,,
2.838915417E-1;-3.817095707E0;2.922697999E0;4.144774257E0;6.347561490E0,,,,,
2.939095417E-1;-2.950529577E0;1.823394852E0;3.324744069E0;4.804614105E0,,,,,
3.039275417E-1;-3.136912499E0;5.001579630E-1;2.978267891E0;4.354360762E0,,,,,
3.139455417E-1;-3.711253502E0;-9.209297410E-1;2.658614059E0;4.657224803E0,,,,,
3.239645417E-1;-3.940200647E0;-2.722910920E0;2.306562853E0;5.315981302E0,,,,,
3.339825417E-1;-4.478448542E0;-3.279336639E0;1.665328533E0;5.795159123E0,,,,,
3.440005417E-1;-5.011993521E0;-3.078396196E0;7.348280695E-1;5.927611196E0,,,,,
3.540185417E-1;-9.504888779E-1;-2.731243494E0;-9.321724749E-1;3.038431447E0,,,,,
3.640365417E-1;7.856641132E0;1.129024252E-1;-2.766383214E0;8.330212058E0,,,,,
3.740545417E-1;1.181496581E1;7.040343515E0;-4.243277621E0;1.439323657E1,,,,,
3.840735417E-1;8.886662668E0;8.428173718E0;4.418473943E0;1.302036089E1,,,,,
3.940915417E-1;5.105198139E0;6.145244726E0;9.713426217E0;1.257687281E1,,,,,
4.041095417E-1;3.180887654E0;4.782515450E0;8.304471778E0;1.009726457E1,,,,,
4.141275417E-1;-8.467113250E-1;3.436408639E-2;9.293372769E0;9.331927903E0,,,,,
4.241455417E-1;-2.365064830E0;-3.626658325E0;8.444850562E0;9.490083417E0,,,,,
4.341635417E-1;-2.065947005E0;-5.777111630E0;1.446479530E0;6.303606812E0,,,,,
4.441825417E-1;-2.812523008E0;-8.041368708E0;-8.079783161E0;1.174124322E1,,,,,
4.542005417E-1;-3.319609337E0;-7.733074847E0;-1.210091220E1;1.473948197E1,,,,,
4.642185417E-1;-3.208123984E0;-4.011800972E0;-5.315734155E0;7.392133396E0,,,,,
4.742365417E-1;-1.952510437E0;8.459570342E-1;-5.501680291E-1;2.197868324E0,,,,,
4.842545417E-1;-1.384638793E0;3.175274912E0;-4.617838562E-3;3.464046286E0,,,,,
4.942725417E-1;-1.032545779E0;4.051485440E0;5.544996464E-1;4.217600611E0,,,,,
5.042915417E-1;-1.220282916E0;4.008041212E0;1.850306954E0;4.580078665E0,,,,,
5.143095417E-1;-6.339024961E-2;3.349560530E0;2.516279089E0;4.189896720E0,,,,,
5.243275417E-1;9.708623314E-1;1.407722431E0;2.674296584E0;3.174290209E0,,,,,
5.343455417E-1;1.895470263E0;4.442094648E-1;2.036540919E0;2.817379719E0,,,,,
5.443635417E-1;2.641532881E0;5.029120016E-1;7.263879061E-1;2.785364578E0,,,,,
5.543815417E-1;2.086352034E0;5.603456926E-1;5.267265415E-1;2.223576613E0,,,,,
5.643995417E-1;1.166023094E0;7.574910003E-1;4.367928565E-1;1.457460281E0,,,,,
5.744185417E-1;4.832296890E-1;7.648660934E-1;-3.390215635E-1;9.661608012E-1,,,,,
5.844365417E-1;-3.453307092E-2;1.443039613E0;-8.159624259E-1;1.658116564E0,,,,,
5.944545417E-1;-3.710572886E-1;2.527497557E0;-8.466193776E-1;2.691224960E0,,,,,
6.044725417E-1;-1.268787324E-1;1.853446909E0;-9.274232201E-1;2.076409759E0,,,,,
6.144905417E-1;4.156183344E-1;3.594640142E-1;-6.479637341E-1;8.495940078E-1,,,,,
6.245085417E-1;8.366786724E-1;-4.534591752E-1;2.326046506E-1;9.796741030E-1,,,,,
6.345275417E-1;7.338056839E-1;-3.439373177E-1;1.149112508E0;1.406137694E0,,,,,
6.445455417E-1;2.863644630E-1;6.754259133E-1;2.048914651E0;2.176294101E0,,,,,
6.545635417E-1;-1.510920525E-3;8.656451941E-2;1.744803303E0;1.746949990E0,,,,,
6.645815417E-1;-3.111841393E-1;8.525825143E-3;1.357655647E0;1.392888048E0,,,,,
6.745995417E-1;-6.610926336E-1;4.474084765E-1;2.639908232E-2;7.986956408E-1,,,,,
6.846175417E-1;-5.461357892E-1;7.259709996E-1;-1.473422331E0;1.730974164E0,,,,,
6.946365417E-1;1.002072430E-1;1.059470453E0;-2.064650677E0;2.322778843E0,,,,,
7.046545417E-1;1.031092161E0;1.147787967E0;-2.060764618E0;2.574357992E0,,,,,
7.146725417E-1;1.843096753E0;1.416673933E0;-1.429951644E0;2.729236593E0,,,,,
7.246905417E-1;2.311076903E0;1.355315006E0;-5.387833540E-1;2.732808578E0,,,,,
7.347085417E-1;2.871961709E0;1.045655821E0;5.073781780E-1;3.098224132E0,,,,,
7.447265417E-1;2.994839192E0;1.118832555E0;1.244786989E0;3.430793308E0,,,,,
7.547455417E-1;2.681463516E0;9.714961696E-1;1.489153680E0;3.217394921E0,,,,,
7.647635417E-1;2.327674225E0;9.856803453E-1;1.357930466E0;2.869426457E0,,,,,
7.747815417E-1;2.069029657E0;8.644184482E-1;1.181657964E0;2.534643667E0,,,,,
7.847995417E-1;2.046989747E0;6.229728806E-1;8.989100770E-1;2.320840702E0,,,,,
7.948175417E-1;2.132849092E0;1.646201706E-1;4.298801319E-1;2.181958290E0,,,,,
8.048355417E-1;2.475942657E0;-3.100070947E-1;1.179545657E-1;2.498061192E0,,,,,
8.148545417E-1;3.290507745E0;-8.609036869E-1;-1.721888065E-1;3.405619673E0,,,,,
8.248725417E-1;4.041312454E0;-1.414421001E0;-5.231701919E-1;4.313525260E0,,,,,
8.348905417E-1;4.435158681E0;-1.901546105E0;-9.643461943E-1;4.921023643E0,,,,,
8.449085417E-1;4.467033023E0;-2.071426431E0;-1.079980658E0;5.040986977E0,,,,,
8.549265417E-1;4.377082381E0;-1.621705965E0;-1.099903218E0;4.795682172E0,,,,,
8.649445417E-1;3.799581542E0;-1.316277825E0;-1.487427582E0;4.287405745E0,,,,,
8.749635417E-1;2.277581713E0;-1.291493232E0;-1.628330276E0;3.083308729E0,,,,,
8.849815417E-1;5.853495562E-1;-1.237452680E0;-2.342312729E0;2.712996897E0,,,,,
8.949995417E-1;-6.669322479E-1;-1.155853617E0;-1.971713862E0;2.380851058E0,,,,,
9.050175417E-1;-9.358848721E-1;-5.180580443E-1;1.967226271E-1;1.087641680E0,,,,,
9.150355417E-1;-1.283419397E0;-4.379719475E-1;9.962697990E-1;1.682717531E0,,,,,
9.250535417E-1;-1.325788906E0;8.594354510E-2;-2.052594888E0;2.445045663E0,,,,,
9.350725417E-1;-3.014317437E0;-2.584686835E0;-1.138472768E0;4.130718568E0,,,,,
9.450905417E-1;-4.746372056E0;-7.031988428E0;5.583857059E-1;8.502276374E0,,,,,
9.551085417E-1;-4.508573982E0;-7.180315332E0;-2.684245037E0;8.893218711E0,,,,,
9.651265417E-1;-4.275031511E0;-4.587389771E0;-3.293453572E0;7.082857880E0,,,,,
9.751445417E-1;-4.099315664E0;-2.655575554E0;-1.764682521E0;5.193320213E0,,,,,
9.851625417E-1;-3.062953992E0;-1.527820732E0;4.780005971E-1;3.456068274E0,,,,,
9.951815417E-1;-1.855485249E0;-1.605761778E0;-9.455656685E-2;2.455654157E0,,,,,
1.005199542E0;-1.389327675E0;-1.726916671E0;-5.992367665E-1;2.295987212E0,,,,,
1.015217542E0;-9.772024673E-1;-1.267663490E0;-5.945239107E-1;1.707440794E0,,,,,
1.025235542E0;-3.049387282E-1;-2.086039208E0;4.620656919E-1;2.158252049E0,,,,,
1.035253542E0;7.642603219E-1;-7.491762596E-1;-1.200457493E-1;1.076926130E0,,,,,
1.045271542E0;1.519815894E0;-4.293780023E-1;1.731395638E-1;1.588767802E0,,,,,
1.055289542E0;2.140959765E0;-1.317974102E-1;5.527547642E-1;2.215088509E0,,,,,
1.065308542E0;2.570288066E0;8.381217653E-1;1.057981094E0;2.903128111E0,,,,,
1.075323667E0;2.603686777E0;2.885326398E0;1.755958622E0;4.264702092E0,,,,,
1.085341667E0;2.626156458E0;5.326881287E0;2.750270627E0;6.544948472E0,,,,,
1.095359667E0;2.858368687E0;5.475357295E0;2.991126795E0;6.862699801E0,,,,,
1.105377667E0;3.184876624E0;3.062890842E0;2.048657373E0;4.870496531E0,,,,,
1.115396667E0;3.419061120E0;1.086165623E0;1.672529379E0;3.958167407E0,,,,,
1.125414667E0;2.996069446E0;-6.002438763E-1;1.565738171E0;3.433403684E0,,,,,
